check_date,product_id,line,checked_count,defect_count
2025-09-16,P001,产线1,121,2
2025-09-16,P002,产线1,764,19
2025-09-16,P003,产线2,60,2
2025-09-16,P004,产线2,166,4
2025-09-16,P005,产线3,534,17
2025-09-16,P006,产线3,327,7
2025-09-17,P001,产线1,127,3
2025-09-17,P002,产线1,850,23
2025-09-17,P003,产线2,63,1
2025-09-17,P004,产线2,187,5
2025-09-17,P005,产线3,530,11
2025-09-17,P006,产线3,316,7
2025-09-18,P001,产线1,122,4
2025-09-18,P002,产线1,739,16
2025-09-18,P003,产线2,65,2
2025-09-18,P004,产线2,175,5
2025-09-18,P005,产线3,464,14
2025-09-18,P006,产线3,315,8
2025-09-19,P001,产线1,122,3
2025-09-19,P002,产线1,826,19
2025-09-19,P003,产线2,66,2
2025-09-19,P004,产线2,181,4
2025-09-19,P005,产线3,520,17
2025-09-19,P006,产线3,282,7
2025-09-20,P001,产线1,117,3
2025-09-20,P002,产线1,731,18
2025-09-20,P003,产线2,62,1
2025-09-20,P004,产线2,196,4
2025-09-20,P005,产线3,515,15
2025-09-20,P006,产线3,289,9
2025-09-21,P001,产线1,115,3
2025-09-21,P002,产线1,847,15
2025-09-21,P003,产线2,62,1
2025-09-21,P004,产线2,180,4
2025-09-21,P005,产线3,465,11
2025-09-21,P006,产线3,321,10
2025-09-22,P001,产线1,120,3
2025-09-22,P002,产线1,747,18
2025-09-22,P003,产线2,55,1
2025-09-22,P004,产线2,168,4
2025-09-22,P005,产线3,512,17
2025-09-22,P006,产线3,274,8
2025-09-23,P001,产线1,117,3
2025-09-23,P002,产线1,830,20
2025-09-23,P003,产线2,60,1
2025-09-23,P004,产线2,186,4
2025-09-23,P005,产线3,479,10
2025-09-23,P006,产线3,326,7
2025-09-24,P001,产线1,125,3
2025-09-24,P002,产线1,828,26
2025-09-24,P003,产线2,56,1
2025-09-24,P004,产线2,196,5
2025-09-24,P005,产线3,541,16
2025-09-24,P006,产线3,283,8
2025-09-25,P001,产线1,117,3
2025-09-25,P002,产线1,821,21
2025-09-25,P003,产线2,61,2
2025-09-25,P004,产线2,173,5
2025-09-25,P005,产线3,496,16
2025-09-25,P006,产线3,321,8
2025-09-26,P001,产线1,110,3
2025-09-26,P002,产线1,726,19
2025-09-26,P003,产线2,66,1
2025-09-26,P004,产线2,192,5
2025-09-26,P005,产线3,514,13
2025-09-26,P006,产线3,280,9
2025-09-27,P001,产线1,108,3
2025-09-27,P002,产线1,842,20
2025-09-27,P003,产线2,59,1
2025-09-27,P004,产线2,196,5
2025-09-27,P005,产线3,467,10
2025-09-27,P006,产线3,306,8
2025-09-28,P001,产线1,123,3
2025-09-28,P002,产线1,837,14
2025-09-28,P003,产线2,63,2
2025-09-28,P004,产线2,182,5
2025-09-28,P005,产线3,487,12
2025-09-28,P006,产线3,326,7
2025-09-29,P001,产线1,113,3
2025-09-29,P002,产线1,798,23
2025-09-29,P003,产线2,57,1
2025-09-29,P004,产线2,178,4
2025-09-29,P005,产线3,533,17
2025-09-29,P006,产线3,326,7
2025-09-30,P001,产线1,112,3
2025-09-30,P002,产线1,746,22
2025-09-30,P003,产线2,59,1
2025-09-30,P004,产线2,175,5
2025-09-30,P005,产线3,504,11
2025-09-30,P006,产线3,306,9
2025-10-01,P001,产线1,127,3
2025-10-01,P002,产线1,724,18
2025-10-01,P003,产线2,65,2
2025-10-01,P004,产线2,191,5
2025-10-01,P005,产线3,465,9
2025-10-01,P006,产线3,327,7
2025-10-02,P001,产线1,111,3
2025-10-02,P002,产线1,791,17
2025-10-02,P003,产线2,62,1
2025-10-02,P004,产线2,176,5
2025-10-02,P005,产线3,539,13
2025-10-02,P006,产线3,306,8
2025-10-03,P001,产线1,123,3
2025-10-03,P002,产线1,838,19
2025-10-03,P003,产线2,56,1
2025-10-03,P004,产线2,192,5
2025-10-03,P005,产线3,534,13
2025-10-03,P006,产线3,317,8
2025-10-04,P001,产线1,113,3
2025-10-04,P002,产线1,846,19
2025-10-04,P003,产线2,59,1
2025-10-04,P004,产线2,164,4
2025-10-04,P005,产线3,517,15
2025-10-04,P006,产线3,308,8
2025-10-05,P001,产线1,115,2
2025-10-05,P002,产线1,770,14
2025-10-05,P003,产线2,56,1
2025-10-05,P004,产线2,171,5
2025-10-05,P005,产线3,486,16
2025-10-05,P006,产线3,311,6
2025-10-06,P001,产线1,113,2
2025-10-06,P002,产线1,736,16
2025-10-06,P003,产线2,62,2
2025-10-06,P004,产线2,170,4
2025-10-06,P005,产线3,496,12
2025-10-06,P006,产线3,283,7
2025-10-07,P001,产线1,123,4
2025-10-07,P002,产线1,865,22
2025-10-07,P003,产线2,55,1
2025-10-07,P004,产线2,180,5
2025-10-07,P005,产线3,508,13
2025-10-07,P006,产线3,325,7
2025-10-08,P001,产线1,116,3
2025-10-08,P002,产线1,750,19
2025-10-08,P003,产线2,59,1
2025-10-08,P004,产线2,166,4
2025-10-08,P005,产线3,512,11
2025-10-08,P006,产线3,315,8
2025-10-09,P001,产线1,128,3
2025-10-09,P002,产线1,746,16
2025-10-09,P003,产线2,57,1
2025-10-09,P004,产线2,190,4
2025-10-09,P005,产线3,476,13
2025-10-09,P006,产线3,295,7
2025-10-10,P001,产线1,124,4
2025-10-10,P002,产线1,822,26
2025-10-10,P003,产线2,62,2
2025-10-10,P004,产线2,196,5
2025-10-10,P005,产线3,452,10
2025-10-10,P006,产线3,320,7
2025-10-11,P001,产线1,113,3
2025-10-11,P002,产线1,862,17
2025-10-11,P003,产线2,57,1
2025-10-11,P004,产线2,192,5
2025-10-11,P005,产线3,539,16
2025-10-11,P006,产线3,328,8
2025-10-12,P001,产线1,112,3
2025-10-12,P002,产线1,742,15
2025-10-12,P003,产线2,59,1
2025-10-12,P004,产线2,196,5
2025-10-12,P005,产线3,488,11
2025-10-12,P006,产线3,298,6
2025-10-13,P001,产线1,128,3
2025-10-13,P002,产线1,789,20
2025-10-13,P003,产线2,55,1
2025-10-13,P004,产线2,178,5
2025-10-13,P005,产线3,463,11
2025-10-13,P006,产线3,329,7
2025-10-14,P001,产线1,115,3
2025-10-14,P002,产线1,766,14
2025-10-14,P003,产线2,59,1
2025-10-14,P004,产线2,185,6
2025-10-14,P005,产线3,505,11
2025-10-14,P006,产线3,276,8
2025-10-15,P001,产线1,110,3
2025-10-15,P002,产线1,806,19
2025-10-15,P003,产线2,56,1
2025-10-15,P004,产线2,179,5
2025-10-15,P005,产线3,493,10
2025-10-15,P006,产线3,283,7
2025-10-16,P001,产线1,132,3
2025-10-16,P002,产线1,784,18
2025-10-16,P003,产线2,63,1
2025-10-16,P004,产线2,174,4
2025-10-16,P005,产线3,533,13
2025-10-16,P006,产线3,283,7
2025-10-17,P001,产线1,126,4
2025-10-17,P002,产线1,871,26
2025-10-17,P003,产线2,64,2
2025-10-17,P004,产线2,189,5
2025-10-17,P005,产线3,464,10
2025-10-17,P006,产线3,286,7
2025-10-18,P001,产线1,119,3
2025-10-18,P002,产线1,845,19
2025-10-18,P003,产线2,62,2
2025-10-18,P004,产线2,175,4
2025-10-18,P005,产线3,508,12
2025-10-18,P006,产线3,296,8
2025-10-19,P001,产线1,118,3
2025-10-19,P002,产线1,770,25
2025-10-19,P003,产线2,63,2
2025-10-19,P004,产线2,182,5
2025-10-19,P005,产线3,529,11
2025-10-19,P006,产线3,318,9
2025-10-20,P001,产线1,118,2
2025-10-20,P002,产线1,754,24
2025-10-20,P003,产线2,63,1
2025-10-20,P004,产线2,192,4
2025-10-20,P005,产线3,540,16
2025-10-20,P006,产线3,285,8
2025-10-21,P001,产线1,124,3
2025-10-21,P002,产线1,760,21
2025-10-21,P003,产线2,60,1
2025-10-21,P004,产线2,186,5
2025-10-21,P005,产线3,518,12
2025-10-21,P006,产线3,318,8
2025-10-22,P001,产线1,117,3
2025-10-22,P002,产线1,815,20
2025-10-22,P003,产线2,56,2
2025-10-22,P004,产线2,164,4
2025-10-22,P005,产线3,492,14
2025-10-22,P006,产线3,302,7
2025-10-23,P001,产线1,118,3
2025-10-23,P002,产线1,775,15
2025-10-23,P003,产线2,57,1
2025-10-23,P004,产线2,175,5
2025-10-23,P005,产线3,504,12
2025-10-23,P006,产线3,281,7
2025-10-24,P001,产线1,113,4
2025-10-24,P002,产线1,806,20
2025-10-24,P003,产线2,60,2
2025-10-24,P004,产线2,169,5
2025-10-24,P005,产线3,495,12
2025-10-24,P006,产线3,274,8
2025-10-25,P001,产线1,117,3
2025-10-25,P002,产线1,727,17
2025-10-25,P003,产线2,56,1
2025-10-25,P004,产线2,194,4
2025-10-25,P005,产线3,531,12
2025-10-25,P006,产线3,319,9
2025-10-26,P001,产线1,121,3
2025-10-26,P002,产线1,860,23
2025-10-26,P003,产线2,58,1
2025-10-26,P004,产线2,189,5
2025-10-26,P005,产线3,470,11
2025-10-26,P006,产线3,311,9
2025-10-27,P001,产线1,129,4
2025-10-27,P002,产线1,823,22
2025-10-27,P003,产线2,55,1
2025-10-27,P004,产线2,186,4
2025-10-27,P005,产线3,482,14
2025-10-27,P006,产线3,319,6
2025-10-28,P001,产线1,114,2
2025-10-28,P002,产线1,797,19
2025-10-28,P003,产线2,58,2
2025-10-28,P004,产线2,195,5
2025-10-28,P005,产线3,521,10
2025-10-28,P006,产线3,282,6
2025-10-29,P001,产线1,113,3
2025-10-29,P002,产线1,835,23
2025-10-29,P003,产线2,66,2
2025-10-29,P004,产线2,181,5
2025-10-29,P005,产线3,495,13
2025-10-29,P006,产线3,319,9
2025-10-30,P001,产线1,111,3
2025-10-30,P002,产线1,781,16
2025-10-30,P003,产线2,58,1
2025-10-30,P004,产线2,178,5
2025-10-30,P005,产线3,474,11
2025-10-30,P006,产线3,323,7
2025-10-31,P001,产线1,110,3
2025-10-31,P002,产线1,725,15
2025-10-31,P003,产线2,58,2
2025-10-31,P004,产线2,196,5
2025-10-31,P005,产线3,544,13
2025-10-31,P006,产线3,302,6
2025-11-01,P001,产线1,120,3
2025-11-01,P002,产线1,867,21
2025-11-01,P003,产线2,64,1
2025-11-01,P004,产线2,178,5
2025-11-01,P005,产线3,512,9
2025-11-01,P006,产线3,300,8
2025-11-02,P001,产线1,125,3
2025-11-02,P002,产线1,783,21
2025-11-02,P003,产线2,58,2
2025-11-02,P004,产线2,166,5
2025-11-02,P005,产线3,512,17
2025-11-02,P006,产线3,321,9
2025-11-03,P001,产线1,126,3
2025-11-03,P002,产线1,727,18
2025-11-03,P003,产线2,54,1
2025-11-03,P004,产线2,188,4
2025-11-03,P005,产线3,532,17
2025-11-03,P006,产线3,275,6
2025-11-04,P001,产线1,131,4
2025-11-04,P002,产线1,876,23
2025-11-04,P003,产线2,64,2
2025-11-04,P004,产线2,163,4
2025-11-04,P005,产线3,546,16
2025-11-04,P006,产线3,320,8
2025-11-05,P001,产线1,117,2
2025-11-05,P002,产线1,778,18
2025-11-05,P003,产线2,63,2
2025-11-05,P004,产线2,187,5
2025-11-05,P005,产线3,527,12
2025-11-05,P006,产线3,327,6
2025-11-06,P001,产线1,117,3
2025-11-06,P002,产线1,854,20
2025-11-06,P003,产线2,65,2
2025-11-06,P004,产线2,178,4
2025-11-06,P005,产线3,460,9
2025-11-06,P006,产线3,315,7
2025-11-07,P001,产线1,112,2
2025-11-07,P002,产线1,834,26
2025-11-07,P003,产线2,54,1
2025-11-07,P004,产线2,176,3
2025-11-07,P005,产线3,499,12
2025-11-07,P006,产线3,325,7
2025-11-08,P001,产线1,111,2
2025-11-08,P002,产线1,830,21
2025-11-08,P003,产线2,63,2
2025-11-08,P004,产线2,185,5
2025-11-08,P005,产线3,495,10
2025-11-08,P006,产线3,282,7
2025-11-09,P001,产线1,131,3
2025-11-09,P002,产线1,837,18
2025-11-09,P003,产线2,64,1
2025-11-09,P004,产线2,181,3
2025-11-09,P005,产线3,484,14
2025-11-09,P006,产线3,272,7
2025-11-10,P001,产线1,124,3
2025-11-10,P002,产线1,811,14
2025-11-10,P003,产线2,63,2
2025-11-10,P004,产线2,172,5
2025-11-10,P005,产线3,486,9
2025-11-10,P006,产线3,323,6
2025-11-11,P001,产线1,112,3
2025-11-11,P002,产线1,817,18
2025-11-11,P003,产线2,59,1
2025-11-11,P004,产线2,184,4
2025-11-11,P005,产线3,520,10
2025-11-11,P006,产线3,281,6
2025-11-12,P001,产线1,132,3
2025-11-12,P002,产线1,722,17
2025-11-12,P003,产线2,64,2
2025-11-12,P004,产线2,193,6
2025-11-12,P005,产线3,473,12
2025-11-12,P006,产线3,324,11
2025-11-13,P001,产线1,118,4
2025-11-13,P002,产线1,847,20
2025-11-13,P003,产线2,55,1
2025-11-13,P004,产线2,187,5
2025-11-13,P005,产线3,544,12
2025-11-13,P006,产线3,276,9
2025-11-14,P001,产线1,126,3
2025-11-14,P002,产线1,799,25
2025-11-14,P003,产线2,59,1
2025-11-14,P004,产线2,178,4
2025-11-14,P005,产线3,509,14
2025-11-14,P006,产线3,300,8
2025-11-15,P001,产线1,108,2
2025-11-15,P002,产线1,772,21
2025-11-15,P003,产线2,61,1
2025-11-15,P004,产线2,184,4
2025-11-15,P005,产线3,510,13
2025-11-15,P006,产线3,306,8
2025-11-16,P001,产线1,112,3
2025-11-16,P002,产线1,721,17
2025-11-16,P003,产线2,65,1
2025-11-16,P004,产线2,178,5
2025-11-16,P005,产线3,466,11
2025-11-16,P006,产线3,310,6
2025-11-17,P001,产线1,114,2
2025-11-17,P002,产线1,795,18
2025-11-17,P003,产线2,62,2
2025-11-17,P004,产线2,163,4
2025-11-17,P005,产线3,479,12
2025-11-17,P006,产线3,292,5
2025-11-18,P001,产线1,124,3
2025-11-18,P002,产线1,831,21
2025-11-18,P003,产线2,59,1
2025-11-18,P004,产线2,187,5
2025-11-18,P005,产线3,499,10
2025-11-18,P006,产线3,294,7
2025-11-19,P001,产线1,109,2
2025-11-19,P002,产线1,726,18
2025-11-19,P003,产线2,62,2
2025-11-19,P004,产线2,171,4
2025-11-19,P005,产线3,515,14
2025-11-19,P006,产线3,321,8
2025-11-20,P001,产线1,111,3
2025-11-20,P002,产线1,820,16
2025-11-20,P003,产线2,55,1
2025-11-20,P004,产线2,194,5
2025-11-20,P005,产线3,529,10
2025-11-20,P006,产线3,317,7
2025-11-21,P001,产线1,120,3
2025-11-21,P002,产线1,764,25
2025-11-21,P003,产线2,58,1
2025-11-21,P004,产线2,166,4
2025-11-21,P005,产线3,464,16
2025-11-21,P006,产线3,273,5
2025-11-22,P001,产线1,132,3
2025-11-22,P002,产线1,759,20
2025-11-22,P003,产线2,59,2
2025-11-22,P004,产线2,165,4
2025-11-22,P005,产线3,541,15
2025-11-22,P006,产线3,302,10
2025-11-23,P001,产线1,131,4
2025-11-23,P002,产线1,844,24
2025-11-23,P003,产线2,60,1
2025-11-23,P004,产线2,171,4
2025-11-23,P005,产线3,454,12
2025-11-23,P006,产线3,289,6
2025-11-24,P001,产线1,125,2
2025-11-24,P002,产线1,812,20
2025-11-24,P003,产线2,62,1
2025-11-24,P004,产线2,180,5
2025-11-24,P005,产线3,470,11
2025-11-24,P006,产线3,271,8
2025-11-25,P001,产线1,116,3
2025-11-25,P002,产线1,879,21
2025-11-25,P003,产线2,54,1
2025-11-25,P004,产线2,165,5
2025-11-25,P005,产线3,458,13
2025-11-25,P006,产线3,275,7
2025-11-26,P001,产线1,131,3
2025-11-26,P002,产线1,868,21
2025-11-26,P003,产线2,56,1
2025-11-26,P004,产线2,181,4
2025-11-26,P005,产线3,536,10
2025-11-26,P006,产线3,313,6
2025-11-27,P001,产线1,115,2
2025-11-27,P002,产线1,751,17
2025-11-27,P003,产线2,65,1
2025-11-27,P004,产线2,176,4
2025-11-27,P005,产线3,543,15
2025-11-27,P006,产线3,282,7
2025-11-28,P001,产线1,117,3
2025-11-28,P002,产线1,749,16
2025-11-28,P003,产线2,57,1
2025-11-28,P004,产线2,186,4
2025-11-28,P005,产线3,500,16
2025-11-28,P006,产线3,298,7
2025-11-29,P001,产线1,127,4
2025-11-29,P002,产线1,787,18
2025-11-29,P003,产线2,62,2
2025-11-29,P004,产线2,169,4
2025-11-29,P005,产线3,476,12
2025-11-29,P006,产线3,273,7
2025-11-30,P001,产线1,130,3
2025-11-30,P002,产线1,756,19
2025-11-30,P003,产线2,66,2
2025-11-30,P004,产线2,185,5
2025-11-30,P005,产线3,474,14
2025-11-30,P006,产线3,291,8
2025-12-01,P001,产线1,131,4
2025-12-01,P002,产线1,853,17
2025-12-01,P003,产线2,64,1
2025-12-01,P004,产线2,189,4
2025-12-01,P005,产线3,461,12
2025-12-01,P006,产线3,301,6
2025-12-02,P001,产线1,117,4
2025-12-02,P002,产线1,774,23
2025-12-02,P003,产线2,63,2
2025-12-02,P004,产线2,165,5
2025-12-02,P005,产线3,471,13
2025-12-02,P006,产线3,287,9
2025-12-03,P001,产线1,116,3
2025-12-03,P002,产线1,805,18
2025-12-03,P003,产线2,65,2
2025-12-03,P004,产线2,193,5
2025-12-03,P005,产线3,504,14
2025-12-03,P006,产线3,325,9
2025-12-04,P001,产线1,119,3
2025-12-04,P002,产线1,802,20
2025-12-04,P003,产线2,62,2
2025-12-04,P004,产线2,171,5
2025-12-04,P005,产线3,479,11
2025-12-04,P006,产线3,303,7
2025-12-05,P001,产线1,112,3
2025-12-05,P002,产线1,789,24
2025-12-05,P003,产线2,63,2
2025-12-05,P004,产线2,182,4
2025-12-05,P005,产线3,476,13
2025-12-05,P006,产线3,273,7
2025-12-06,P001,产线1,125,3
2025-12-06,P002,产线1,808,22
2025-12-06,P003,产线2,60,2
2025-12-06,P004,产线2,192,4
2025-12-06,P005,产线3,510,13
2025-12-06,P006,产线3,279,9
2025-12-07,P001,产线1,129,3
2025-12-07,P002,产线1,856,23
2025-12-07,P003,产线2,64,1
2025-12-07,P004,产线2,186,4
2025-12-07,P005,产线3,477,13
2025-12-07,P006,产线3,329,7
2025-12-08,P001,产线1,131,4
2025-12-08,P002,产线1,869,27
2025-12-08,P003,产线2,65,2
2025-12-08,P004,产线2,196,5
2025-12-08,P005,产线3,512,12
2025-12-08,P006,产线3,312,6
2025-12-09,P001,产线1,118,3
2025-12-09,P002,产线1,829,22
2025-12-09,P003,产线2,60,2
2025-12-09,P004,产线2,167,5
2025-12-09,P005,产线3,465,13
2025-12-09,P006,产线3,300,6
2025-12-10,P001,产线1,109,3
2025-12-10,P002,产线1,860,16
2025-12-10,P003,产线2,64,2
2025-12-10,P004,产线2,195,4
2025-12-10,P005,产线3,482,11
2025-12-10,P006,产线3,287,7
2025-12-11,P001,产线1,125,4
2025-12-11,P002,产线1,877,19
2025-12-11,P003,产线2,55,1
2025-12-11,P004,产线2,178,6
2025-12-11,P005,产线3,518,14
2025-12-11,P006,产线3,309,8
2025-12-12,P001,产线1,123,2
2025-12-12,P002,产线1,867,18
2025-12-12,P003,产线2,58,2
2025-12-12,P004,产线2,163,5
2025-12-12,P005,产线3,498,13
2025-12-12,P006,产线3,286,5
2025-12-13,P001,产线1,129,3
2025-12-13,P002,产线1,836,17
2025-12-13,P003,产线2,57,2
2025-12-13,P004,产线2,166,4
2025-12-13,P005,产线3,540,12
2025-12-13,P006,产线3,281,7
2025-12-14,P001,产线1,116,3
2025-12-14,P002,产线1,811,22
2025-12-14,P003,产线2,58,2
2025-12-14,P004,产线2,177,4
2025-12-14,P005,产线3,498,16
2025-12-14,P006,产线3,327,8
2025-12-15,P001,产线1,121,4
2025-12-15,P002,产线1,838,21
2025-12-15,P003,产线2,63,1
2025-12-15,P004,产线2,183,3
2025-12-15,P005,产线3,531,14
2025-12-15,P006,产线3,273,7
2025-12-16,P001,产线1,117,3
2025-12-16,P002,产线1,874,19
2025-12-16,P003,产线2,60,2
2025-12-16,P004,产线2,175,4
2025-12-16,P005,产线3,541,15
2025-12-16,P006,产线3,304,8
2025-12-17,P001,产线1,124,3
2025-12-17,P002,产线1,756,18
2025-12-17,P003,产线2,61,1
2025-12-17,P004,产线2,181,5
2025-12-17,P005,产线3,502,12
2025-12-17,P006,产线3,279,6
2025-12-18,P001,产线1,111,3
2025-12-18,P002,产线1,850,27
2025-12-18,P003,产线2,54,1
2025-12-18,P004,产线2,190,5
2025-12-18,P005,产线3,462,13
2025-12-18,P006,产线3,308,8
2025-12-19,P001,产线1,123,3
2025-12-19,P002,产线1,757,23
2025-12-19,P003,产线2,62,1
2025-12-19,P004,产线2,187,6
2025-12-19,P005,产线3,521,11
2025-12-19,P006,产线3,324,7
2025-12-20,P001,产线1,112,2
2025-12-20,P002,产线1,720,16
2025-12-20,P003,产线2,61,2
2025-12-20,P004,产线2,175,4
2025-12-20,P005,产线3,488,11
2025-12-20,P006,产线3,279,6
2025-12-21,P001,产线1,127,3
2025-12-21,P002,产线1,755,18
2025-12-21,P003,产线2,56,2
2025-12-21,P004,产线2,170,3
2025-12-21,P005,产线3,530,14
2025-12-21,P006,产线3,307,8
2025-12-22,P001,产线1,127,4
2025-12-22,P002,产线1,814,22
2025-12-22,P003,产线2,61,1
2025-12-22,P004,产线2,184,5
2025-12-22,P005,产线3,491,12
2025-12-22,P006,产线3,296,6
2025-12-23,P001,产线1,130,2
2025-12-23,P002,产线1,741,21
2025-12-23,P003,产线2,55,1
2025-12-23,P004,产线2,194,5
2025-12-23,P005,产线3,499,11
2025-12-23,P006,产线3,329,8
2025-12-24,P001,产线1,117,2
2025-12-24,P002,产线1,867,21
2025-12-24,P003,产线2,55,1
2025-12-24,P004,产线2,170,4
2025-12-24,P005,产线3,521,13
2025-12-24,P006,产线3,290,7
2025-12-25,P001,产线1,122,3
2025-12-25,P002,产线1,753,20
2025-12-25,P003,产线2,64,1
2025-12-25,P004,产线2,170,4
2025-12-25,P005,产线3,511,10
2025-12-25,P006,产线3,273,7
2025-12-26,P001,产线1,124,3
2025-12-26,P002,产线1,795,21
2025-12-26,P003,产线2,59,2
2025-12-26,P004,产线2,172,4
2025-12-26,P005,产线3,530,11
2025-12-26,P006,产线3,313,8
2025-12-27,P001,产线1,111,3
2025-12-27,P002,产线1,843,22
2025-12-27,P003,产线2,64,2
2025-12-27,P004,产线2,165,5
2025-12-27,P005,产线3,533,15
2025-12-27,P006,产线3,288,6
2025-12-28,P001,产线1,124,3
2025-12-28,P002,产线1,879,23
2025-12-28,P003,产线2,58,2
2025-12-28,P004,产线2,186,5
2025-12-28,P005,产线3,465,14
2025-12-28,P006,产线3,286,7
2025-12-29,P001,产线1,122,4
2025-12-29,P002,产线1,773,17
2025-12-29,P003,产线2,57,2
2025-12-29,P004,产线2,177,5
2025-12-29,P005,产线3,541,11
2025-12-29,P006,产线3,271,6
2025-12-30,P001,产线1,111,2
2025-12-30,P002,产线1,856,21
2025-12-30,P003,产线2,55,2
2025-12-30,P004,产线2,167,4
2025-12-30,P005,产线3,548,11
2025-12-30,P006,产线3,300,7
2025-12-31,P001,产线1,115,3
2025-12-31,P002,产线1,840,24
2025-12-31,P003,产线2,57,1
2025-12-31,P004,产线2,186,4
2025-12-31,P005,产线3,518,14
2025-12-31,P006,产线3,282,7
2026-01-01,P001,产线1,108,2
2026-01-01,P002,产线1,857,18
2026-01-01,P003,产线2,56,1
2026-01-01,P004,产线2,185,5
2026-01-01,P005,产线3,534,18
2026-01-01,P006,产线3,299,8
2026-01-02,P001,产线1,117,3
2026-01-02,P002,产线1,844,20
2026-01-02,P003,产线2,57,1
2026-01-02,P004,产线2,185,5
2026-01-02,P005,产线3,461,11
2026-01-02,P006,产线3,288,7
2026-01-03,P001,产线1,125,3
2026-01-03,P002,产线1,773,20
2026-01-03,P003,产线2,57,1
2026-01-03,P004,产线2,197,4
2026-01-03,P005,产线3,481,10
2026-01-03,P006,产线3,271,5
2026-01-04,P001,产线1,129,4
2026-01-04,P002,产线1,722,18
2026-01-04,P003,产线2,64,2
2026-01-04,P004,产线2,192,6
2026-01-04,P005,产线3,501,13
2026-01-04,P006,产线3,320,8
2026-01-05,P001,产线1,129,4
2026-01-05,P002,产线1,803,24
2026-01-05,P003,产线2,57,1
2026-01-05,P004,产线2,163,5
2026-01-05,P005,产线3,535,13
2026-01-05,P006,产线3,314,10
2026-01-06,P001,产线1,119,3
2026-01-06,P002,产线1,778,17
2026-01-06,P003,产线2,62,1
2026-01-06,P004,产线2,165,5
2026-01-06,P005,产线3,469,13
2026-01-06,P006,产线3,312,6
2026-01-07,P001,产线1,126,3
2026-01-07,P002,产线1,877,25
2026-01-07,P003,产线2,57,1
2026-01-07,P004,产线2,164,4
2026-01-07,P005,产线3,545,17
2026-01-07,P006,产线3,283,6
2026-01-08,P001,产线1,128,3
